t,x,y,doc_id,hilbert_idx
2800701,336,129,md_27345,121259
2800702,338,129,md_27345,121255
2800703,338,130,md_27345,121250
2800704,338,128,md_27345,121254
2800705,338,130,md_27345,121250
2800706,338,129,md_27345,121255
2800708,339,130,md_27345,121251
2800709,340,131,md_27345,121247
2800710,340,129,md_27345,121243
2800711,340,130,md_27345,121244
2800712,340,132,md_27345,121226
2800713,340,133,md_27345,121225
2800714,342,133,md_27345,121229
2800715,342,132,md_27345,121228
2800717,342,133,md_27345,121229
2800719,342,134,md_27345,121218
2800720,343,135,md_27345,121216
2800721,343,136,md_27345,121301
2800722,344,135,md_27345,121215
2800723,344,136,md_27345,121130
2800724,344,134,md_27345,121214
2800725,344,135,md_27345,121215
2800726,344,137,md_27345,121129
2800728,345,137,md_27345,121128
2800739,347,142,md_27345,121105
2800749,351,146,md_27345,121073
2800751,351,147,md_27345,121072
2800752,352,147,md_27345,120591
2800753,352,149,md_27345,120595
2800754,353,149,md_27345,120594
2800755,352,149,md_27345,120595
2800759,353,150,md_27345,120599
2800761,353,151,md_27345,120598
2800762,353,152,md_27345,120809
2800763,353,153,md_27345,120808
2800765,354,153,md_27345,120807
2800767,354,154,md_27345,120802
2800768,354,155,md_27345,120801
2800770,355,155,md_27345,120800
2800771,355,156,md_27345,120821
2800773,355,157,md_27345,120822
3412885,474,165,md_34904,105847
3412886,471,162,md_34904,105875
3412887,467,160,md_34904,105893
3412888,462,158,md_34904,102824
3412889,458,157,md_34904,102813
3412890,454,155,md_34904,102771
3412891,449,153,md_34904,102722
3412892,445,153,md_34904,101426
3412893,441,150,md_34904,101501
3412894,438,150,md_34904,101506
3412895,435,148,md_34904,101557
3412896,431,146,md_34904,101873
3412897,428,143,md_34904,101893
3412898,424,143,md_34904,101951
3412899,422,142,md_34904,101954
3412900,419,140,md_34904,101983
3412901,415,138,md_34904,98713
3412902,411,137,md_34904,98700
3412903,408,135,md_34904,98687
3412904,405,134,md_34904,98599
3412905,402,132,md_34904,98590
3412906,399,131,md_34904,98554
3412907,396,130,md_34904,98548
3412908,394,128,md_34904,98540
3412909,391,127,md_34904,98282
3412910,387,125,md_34904,98292
3412911,385,125,md_34904,98296
3412912,381,122,md_34904,76471
3412913,377,122,md_34904,76429
3412914,374,121,md_34904,76413
3412915,371,118,md_34904,76339
3412916,368,118,md_34904,76348
3412917,365,117,md_34904,76232
3412918,362,116,md_34904,76252
3412919,359,114,md_34904,76057
3412920,356,113,md_34904,76049
3412921,355,116,md_34904,76085
3412922,352,112,md_34904,76032
3412923,349,110,md_34904,75527
3412924,347,109,md_34904,75574
3412925,346,108,md_34904,75572
3412926,344,107,md_34904,75567
3412927,342,105,md_34904,75645
3412928,340,105,md_34904,75635
3412929,339,104,md_34904,75631
3412930,338,102,md_34904,75666
3412931,336,101,md_34904,75673
3412932,334,101,md_34904,74855
3412933,334,100,md_34904,74852
3412934,332,98,md_34904,74846
3412935,332,97,md_34904,74833
3412936,331,97,md_34904,74828
3412937,329,96,md_34904,74817
3412938,327,94,md_34904,74729
3412939,325,93,md_34904,74722
3412940,325,92,md_34904,74723
3412941,323,92,md_34904,74741
3412942,322,91,md_34904,74697
3412943,319,85,md_34904,72782
3412944,321,89,md_34904,74690
3412945,318,83,md_34904,72785
3412947,317,83,md_34904,72798
3412948,316,82,md_34904,72796
3412950,315,80,md_34904,72805
3412958,320,81,md_34904,74667
3412960,321,81,md_34904,74664
3412962,321,82,md_34904,74669
3412966,321,83,md_34904,74670
3412968,322,83,md_34904,74657
3412970,322,85,md_34904,74679
3412974,323,85,md_34904,74678
3412975,323,86,md_34904,74681
3412979,323,87,md_34904,74682
3412980,323,88,md_34904,74703
3412981,323,91,md_34904,74698
3412984,323,89,md_34904,74700
3412986,324,89,md_34904,74705
3412987,324,90,md_34904,74718
3412994,324,91,md_34904,74719
3412998,324,93,md_34904,74721
3413001,324,94,md_34904,74734
3413003,325,94,md_34904,74733
3413005,325,95,md_34904,74732
3413008,325,96,md_34904,74811
3413011,325,97,md_34904,74808
3413012,326,96,md_34904,74812
3413014,326,97,md_34904,74813
3413017,327,98,md_34904,74801
3413018,327,99,md_34904,74800
3413019,327,100,md_34904,74799
3413020,327,99,md_34904,74800
3413022,327,100,md_34904,74799
3413023,328,101,md_34904,74875
3413024,329,100,md_34904,74873
3413026,329,101,md_34904,74872
3413028,329,102,md_34904,74877
3413029,329,105,md_34904,74882
3413031,329,103,md_34904,74878
3413032,331,103,md_34904,74864
3413033,331,104,md_34904,74895
3413037,331,105,md_34904,74892
3413038,331,106,md_34904,74891
3413042,332,106,md_34904,74910
3413043,332,107,md_34904,74911
3413044,333,108,md_34904,74915
3413045,334,108,md_34904,74916
3413050,334,109,md_34904,74919
3413051,334,110,md_34904,74920
3413053,335,110,md_34904,74921
3413054,335,111,md_34904,74922
3413057,336,112,md_34904,75264
3413061,336,113,md_34904,75267
3413063,337,114,md_34904,75271
3413065,338,114,md_34904,75272
3413068,338,116,md_34904,75318
3413070,339,117,md_34904,75316
3413073,340,117,md_34904,75297
3413074,340,118,md_34904,75310
3413075,341,119,md_34904,75308
3413076,341,118,md_34904,75309
3413078,342,120,md_34904,75388
3413081,343,121,md_34904,75390
3413082,344,122,md_34904,75406
3413083,344,121,md_34904,75393
3413084,345,122,md_34904,75405
3413085,345,123,md_34904,75404
3413086,346,124,md_34904,75422
3413087,347,124,md_34904,75423
3413089,347,125,md_34904,75420
3413091,349,125,md_34904,75426
3413092,349,126,md_34904,75431
3413093,350,126,md_34904,75432
3413095,351,126,md_34904,75435
3413096,352,129,md_34904,120491
3413097,352,128,md_34904,120490
3413098,353,129,md_34904,120488
3413099,353,128,md_34904,120489
3413100,353,129,md_34904,120488
3413101,355,129,md_34904,120484
3413102,355,128,md_34904,120485
3413103,356,130,md_34904,120476
3413105,357,131,md_34904,120478
3413106,357,132,md_34904,120459
3413109,359,133,md_34904,120462
